claim_id,day_offset,date,avg_temp_c,max_temp_c,avg_pressure_kpa,max_pressure_kpa,vibration_rms_mm_s,runtime_hours,power_draw_kwh,error_code_count,telemetry_received
CLM-0002134,-89,2024-06-07,50.5,53.98,425.6,440.0,0.968,2.13,2.52,0.0,True
CLM-0002134,-88,2024-06-08,48.33,51.06,418.4,441.5,1.338,2.23,3.18,0.0,True
CLM-0002134,-87,2024-06-09,46.47,49.32,419.7,425.1,1.195,2.24,3.54,0.0,True
CLM-0002134,-86,2024-06-10,48.01,49.5,437.1,453.3,1.153,2.33,3.87,0.0,True
CLM-0002134,-85,2024-06-11,47.27,49.74,425.8,440.8,1.242,2.6,4.04,0.0,True
CLM-0002134,-84,2024-06-12,46.3,48.88,422.9,431.6,0.983,2.39,3.38,0.0,True
CLM-0002134,-83,2024-06-13,44.87,49.3,424.0,454.2,1.265,2.77,4.14,0.0,True
CLM-0002134,-82,2024-06-14,50.21,52.06,398.6,422.5,1.111,2.82,4.31,0.0,True
CLM-0002134,-81,2024-06-15,47.63,48.25,425.9,445.9,1.177,2.52,4.25,0.0,True
CLM-0002134,-80,2024-06-16,47.97,50.96,406.9,437.2,1.371,2.67,4.29,0.0,True
CLM-0002134,-79,2024-06-17,50.44,52.18,425.9,437.8,1.296,3.21,5.09,0.0,True
CLM-0002134,-78,2024-06-18,,,,,,,,,False
CLM-0002134,-77,2024-06-19,45.63,49.29,428.9,462.8,1.185,2.83,3.92,0.0,True
CLM-0002134,-76,2024-06-20,50.1,53.0,417.7,461.0,0.816,3.02,4.11,0.0,True
CLM-0002134,-75,2024-06-21,51.72,54.29,402.8,433.3,1.077,2.57,3.77,0.0,True
CLM-0002134,-74,2024-06-22,49.76,52.6,415.6,444.4,1.225,3.16,4.95,0.0,True
CLM-0002134,-73,2024-06-23,47.02,50.87,453.1,473.4,1.085,3.11,4.51,0.0,True
CLM-0002134,-72,2024-06-24,45.8,47.65,385.9,406.4,1.001,2.27,3.57,0.0,True
CLM-0002134,-71,2024-06-25,46.95,50.68,422.5,449.3,1.272,2.3,3.21,0.0,True
CLM-0002134,-70,2024-06-26,48.96,50.95,404.8,440.8,1.396,2.61,3.73,0.0,True
CLM-0002134,-69,2024-06-27,51.6,55.2,440.7,469.1,1.092,2.15,3.65,0.0,True
CLM-0002134,-68,2024-06-28,47.23,48.69,432.2,464.9,1.331,3.48,5.46,0.0,True
CLM-0002134,-67,2024-06-29,47.45,50.99,422.8,440.5,1.309,2.72,3.98,0.0,True
CLM-0002134,-66,2024-06-30,50.79,53.69,433.8,463.7,1.053,2.42,3.38,0.0,True
CLM-0002134,-65,2024-07-01,47.88,50.98,423.7,443.3,1.091,1.84,3.04,0.0,True
CLM-0002134,-64,2024-07-02,52.18,56.14,420.1,446.2,1.47,2.5,4.01,0.0,True
CLM-0002134,-63,2024-07-03,48.45,50.63,411.0,440.9,1.032,1.93,3.08,0.0,True
CLM-0002134,-62,2024-07-04,51.09,54.06,414.6,435.3,1.109,2.7,4.0,0.0,True
CLM-0002134,-61,2024-07-05,49.52,52.82,413.0,429.9,1.495,1.4,1.77,0.0,True
